Datum,1 mån,3 mån,6 mån
2022-01-03,-0.20600,-0.17500,-0.19000
2022-01-04,-0.21000,-0.17500,-0.19000
2022-01-05,-0.20000,-0.17700,-0.18900
2022-01-07,-0.13500,-0.17400,-0.19000
2022-01-10,-0.15400,-0.17700,-0.18900
2022-01-11,-0.18000,-0.17400,-0.19000
2022-01-12,-0.14400,-0.17700,-0.18900
2022-01-13,-0.18000,-0.17400,-0.19100
2022-01-14,0.00000,-0.17700,-0.19000
2022-01-17,0,-0.17300,-0.19100
2022-01-18,-0.20000,-0.14100,-0.19000
2022-01-19,-0.20700,-0.14100,-0.14900
2022-01-20,-0.20300,-0.14600,-0.14900
2022-01-21,-0.16300,-0.15700,-0.15800
2022-01-24,-0.17100,-0.14100,-0.14900
2022-01-25,-0.16200,-0.14300,-0.15000
2022-01-26,-0.15200,-0.14000,-0.15100
2022-01-27,-0.13500,-0.14600,-0.14900
2022-01-28,-0.12000,-0.14800,-0.15000
2022-01-31,-0.12800,-0.14900,-0.14900
2022-02-01,-0.11100,-0.13200,-0.15000
2022-02-02,-0.12000,-0.13400,-0.15100
2022-02-03,-0.16000,-0.13000,-0.14300
2022-02-04,-0.13500,-0.13200,-0.15000
2022-02-07,-0.15400,-0.13400,-0.14800
2022-02-08,-0.18000,-0.13000,-0.15000
2022-02-09,-0.14400,-0.13200,-0.15100
2022-02-10,-0.18000,-0.13800,-0.14900
2022-02-11,0.00000,-0.12900,-0.15000
2022-02-14,0.00000,-0.12600,-0.14800
2022-02-15,-0.14700,-0.15600,-0.15200
2022-02-16,-0.15200,-0.17000,-0.15100
2022-02-17,-0.15600,-0.15100,-0.15100
2022-02-18,-0.14700,-0.14800,-0.15600
2022-02-21,-0.15400,-0.15000,-0.15100
2022-02-22,-0.14400,-0.16900,-0.14900
2022-02-23,-0.15200,-0.14900,-0.15000
2022-02-24,-0.18000,-0.15000,-0.15500
2022-02-25,-0.14400,-0.16100,-0.14900
2022-02-28,-0.15400,-0.14900,-0.15100
2022-03-01,-0.13800,-0.15100,-0.14900
2022-03-02,-0.15000,-0.22100,-0.15000
2022-03-03,-0.16000,-0.22000,-0.15100
2022-03-04,-0.13500,-0.22800,-0.14900
2022-03-07,-0.15400,-0.25200,-0.15000
2022-03-08,-0.18000,-0.15100,-0.14800
2022-03-09,-0.14400,-0.26400,-0.15400
2022-03-10,-0.18000,-0.12200,-0.12800
2022-03-11,0.00000,-0.15200,-0.13600
2022-03-14,-0.14400,-0.25300,-0.25300
2022-03-15,-0.12700,-0.25200,-0.25000
2022-03-16,-0.12000,-0.25900,-0.25900
2022-03-17,-0.13200,-0.25500,-0.15600
2022-03-18,-0.11200,-0.23700,-0.13800
2022-03-21,-0.12800,-0.24800,-0.15000
2022-03-22,-0.12000,-0.25500,-0.15500
2022-03-23,-0.12400,-0.25000,-0.15000
2022-03-24,-0.14100,-0.24600,-0.14600
2022-03-25,-0.13100,-0.24900,-0.14900
2022-03-28,-0.12000,-0.25200,-0.15000
2022-03-29,-0.16200,-0.25500,-0.15700
2022-03-30,-0.15200,-0.20100,-0.15000
2022-03-31,-0.18000,-0.20000,-0.15000
2022-04-01,-0.16800,-0.18700,-0.14000
2022-04-04,-0.12800,-0.19500,-0.14600
2022-04-05,-0.16600,-0.19800,-0.15100
2022-04-06,-0.15000,-0.20100,-0.14900
2022-04-07,-0.16000,-0.20500,-0.15400
2022-04-08,-0.13500,-0.19100,-0.12000
2022-04-11,-0.15400,-0.20000,-0.15000
2022-04-12,-0.24000,-0.23200,-0.18600
2022-04-13,-0.71700,-0.21400,-0.16500
2022-04-14,-0.20600,-0.11500,-0.14900
2022-04-19,-0.20000,-0.10400,-0.15000
2022-04-20,-0.15200,-0.10500,-0.09900
2022-04-21,-0.14100,-0.10900,-0.09900
2022-04-22,-0.09800,-0.08900,-0.10000
2022-04-25,-0.15400,-0.06800,-0.10000
2022-04-26,-0.05400,-0.06100,-0.05900
2022-04-27,-0.05700,0.00900,0.06500
2022-04-28,0.06800,0.28300,0.25700
2022-04-29,0.07200,0.31000,0.28900
2022-05-02,0.10300,0.30900,0.28900
2022-05-03,0.05500,0.30800,0.28800
2022-05-04,0.09000,0.31300,0.28700
2022-05-05,0.08000,0.31100,0.36100
2022-05-06,0.09000,0.31500,0.37700
2022-05-09,0.10300,0.33500,0.34500
2022-05-10,0.12000,0.35000,0.36400
2022-05-11,0.07200,0.40300,0.40800
2022-05-12,0.18000,0.35500,0.38400
2022-05-13,0.00000,0.36600,0.31800
2022-05-16,0.00000,0.34900,0.32400
2022-05-17,0.25400,0.31300,0.57600
2022-05-18,0.25000,0.34900,0.57500
2022-05-19,0.25100,0.25600,0.57500
2022-05-20,0.24600,0.25900,0.57900
2022-05-23,0.25700,0.28800,0.57500
2022-05-24,0.24700,0.29500,0.58400
2022-05-25,0.24800,0.27800,0.53800
2022-05-27,0.24000,0.28200,0.58500
2022-05-30,0.25700,0.28600,0.59300
2022-05-31,0.25000,0.25600,0.59400
2022-06-01,0.24000,0.27900,0.61400
2022-06-02,0.27000,0.28400,0.61900
2022-06-03,0.25700,0.28900,0.62900
2022-06-07,0.24000,0.29300,0.65300
2022-06-08,0.35200,0.40700,0.65100
2022-06-09,0.41000,0.52000,0.70900
2022-06-10,0.40100,0.51400,0.68200
2022-06-13,0.36100,0.48300,0.66200
2022-06-14,0.37100,0.52900,0.72000
2022-06-15,0.33900,0.53400,0.83500
2022-06-16,0.37300,0.57100,0.86400
2022-06-17,0.37300,0.60900,0.92100
2022-06-20,0.34800,0.58400,0.89400
2022-06-21,0.40100,0.61800,0.89900
2022-06-22,0.40800,0.62500,0.93400
2022-06-23,0.39400,0.63800,0.89800
2022-06-27,0.39500,0.65000,0.90900
2022-06-28,0.39700,0.62700,0.91900
2022-06-29,0.39900,0.60400,0.91300
2022-06-30,0.40600,0.63600,0.88700
2022-07-01,0.24000,0.46800,0.72000
