,p_pct,l_pct,s_pct,pac_pct,p,l,s,pac,riskfree,riskfree_daily,benchmark,p_return_ann,l_return_ann,s_return_ann,pac_return_ann,benchmark_return_ann,p_alpha,l_alpha,s_alpha,pac_alpha,p_sr,l_sr,s_sr,pac_sr,p_std_dev,l_std_dev,s_std_dev,pac_std_dev,total_trades
2022-01-11,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,0.008790089255221956,0.01283544399909542,0.061519917054269735,-0.037530373647653104,-0.0833855804808028,-0.015358231068942296,0.0023970885715962724,0.06856390119441505,-0.07783567573106456,-0.09522045984424708,-0.03713439858560102,0.18054944285396043,-0.24085122967811481,-1.422871526511458,0.06245904055078916,0.25679998462022424,0.21874580679636463,0.06925460349085981,
2022-01-12,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,0.010008535840024368,,,,,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,-0.0017399999999999998,-4.837531516588278e-06,-0.00213980168956307,,,,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,-0.0017699999999999999,-4.921010949732185e-06,-0.022991723164404676,,,,,,,,,,,,,,,,,,
2022-01-17,,,,,,,,,-0.0017299999999999998,-4.809705594799318e-06,0.0006915158119673581,,,,,,,,,,,,,,,,,,
2022-01-18,0.9990647566680984,0.97939071549553,1.0187387978406668,0.9990647566680984,,,,,-0.0014099999999999998,-3.919422834064434e-06,-0.020159776139960228,,,,,,,,,,,,,,,,,,
2022-01-19,0.9951841128347944,0.9880877274097452,1.0022804982598437,0.9951841128347944,-0.003884276577072021,0.008880022831148526,-0.01615556373793592,-0.003884276577072021,-0.0014099999999999998,-3.919422834064434e-06,0.005880228279987687,,,,,,,,,,,,,,,,,,
2022-01-20,0.9909618196908848,0.9917330970142708,0.9901905423674988,0.9909618196908848,-0.0042427256318253725,0.0036893177633952057,-0.012062447501807516,-0.0042427256318253725,-0.00146,-4.058510760129863e-06,0.010214932222805784,,,,,,,,,,,,,,,,,,
2022-01-21,0.9895366312404458,0.9727197853128624,1.0063534771680291,0.9895366312404458,-0.0014381870442633504,-0.01917180313801181,0.016323055118144802,-0.0014381870442633504,-0.00157,-4.364528646161325e-06,-0.020571813427949226,,,,,,,,,,,,,,,,,,
2022-01-24,0.9854570766382946,0.9284630062663844,1.0424511470102047,0.9834570766382946,-0.004122691847230686,-0.04549797353226792,0.03586977206434239,-0.006143839864250489,-0.0014099999999999998,-3.919422834064434e-06,-0.044070370766894795,,,,,,,,,,,,,,,,,,
